REFUTED	always-was	src/core/app/app_auth_runtime.zig:21	selectForProvider comptime @hasDecl guard	input_submit_runtime.zig:688 calls ensurePromptCredential which runs this guard and executes selectForProvider
REFUTED	always-was	src/core/app/app_callbacks.zig:941	Switch model dead route-recovery label match	app_callbacks.zig:917 explicitly populates a QuestionOption with .label = "Change model" matching this conditi
REFUTED	deleted-product	src/main.zig:3214	exitFast wasi compile-time branch	Portability guard beside .windows that is live on production macOS/Linux platforms to call std.c._exit for fas
REFUTED	deleted-product	src/core/hosts/host.zig:159	operatingSystemText wasi compile branch	Deleting this branch would break Windows compilation where std.posix.uname is not supported
REFUTED	deleted-product	src/terminal_client_fixture.zig:265	FIBER_TERMINAL_AUTHORITY_FIXTURE_COMPAT ACP compat shim	tests/e2e/terminal-host.test.ts:7520 explicitly sets FIBER_TERMINAL_AUTHORITY_FIXTURE_COMPAT to "1" for e2e te
REFUTED	always-was	src/tools/filesystem/grep_files.zig:493	writeGrepResultNotes truncated_reason switch	grep_files.zig:350 and 484 call writeGrepResultNotes to output truncation warnings in production
REFUTED	deleted-product	src/core/execution/command_runner.zig:56	supports_foreground_session wasi conjunct	supports_foreground_session is live on macOS/Linux and checking .wasi beside .windows is a standard portabilit
REFUTED	deleted-product	src/core/execution/process_tree.zig:609	inspectProcessGroup wasi branch	Deleting this branch would break Windows compilation where POSIX getpgid is unavailable
TESTED-ONLY	always-was	src/core/slash_commands/command_specs.zig:160	projectResultV4 identity helper	childChatSlashRegistry is only called inside the test "child chat slash registry exposes only locally handled 
REFUTED	deleted-product	src/builtins/commands.zig:184	Gateway reports usage detail line	This text defines the details for the live /usage command, displayed to users in help menus in production
REFUTED	always-was	src/core/terminal/recovery.zig:60	reconcile invalid-record branch	src/core/terminal/store.zig:1084 calls recovery.reconcile to isolate corrupt session records in production
